hindi,matra,trans,isVowel,isAspirated,isVoiced,isVelar,isPalatal,isRetroflex,isDental,isLabial,isNasal,isSemivowel,isSibilant,isPlosive,isFricative,isTap,isLong,isFront,isBack,isMid,isClose,isOpen,code
क,0,ka,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00010000000100000000
ख,0,kha,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01010000000100000000
ग,0,ga,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00110000000100000000
घ,0,gha,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01110000000100000000
ङ,0,Ga,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,00010000100100000000
च,0,ca,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00001000000010000000
छ,0,cha,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,01001000000010000000
ज,0,ja,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00101000000010000000
झ,0,jha,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,01101000000010000000
ट,0,Ta,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000100000100000000
ठ,0,Tha,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01000100000100000000
ड,0,Da,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00100100000100000000
ढ,0,Dha,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01100100000100000000
ण,0,Na,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,00000100100100000000
त,0,ta,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00000010000100000000
थ,0,tha,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,01000010000100000000
द,0,da,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00100010000100000000
ध,0,dha,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,01100010000100000000
न,0,na,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,00000010100100000000
प,0,pa,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,00000001000100000000
फ,0,pha,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,01000001000100000000
ब,0,ba,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,00100001000100000000
भ,0,bha,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,01100001000100000000
म,0,ma,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,00100001100100000000
य,0,ya,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,00101000010000000000
र,0,ra,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,00100100010000000000
ल,0,la,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,00100010010000000000
व,0,va,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,00100001010000000000
श,0,za,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,00001000001010000000
ष,0,Sa,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,00000100001010000000
स,0,sa,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,00000010001010000000
ह,0,ha,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00100000000010000000
ख़,0,qha,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00010000000010000000
ज़,0,z2a,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00100100000010000000
ड़,0,r3a,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00100100000001000000
ढ़,0,r3ha,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01100100000001000000
फ़,0,fa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00000001000000000000
अ,0,a,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10100000000000000100
आ,ा,A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10100000000000100001
इ,ि,i,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10100000000000010010
ई,ी,I,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10100000000000100010
उ,ु,u,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10100000000000001010
ऊ,ू,U,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,10100000000000101010
ए,े,e,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10100000000000010100
ऐ,ै,ai,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10100000000000110000
ओ,ो,o,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,10100000000000101100
औ,ौ,au,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,10100000000000101001
अं,ं,aM,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10100000100000000000
अः,ः,aH,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11110000000000000000